Calculation1,City,Count,County/State/ Territory,Gender,School,Pivot Field Values
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Enr,Alameda,All,ALAMEDA SCIENCE & TECHLGY INST,19
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Adm,Alameda,All,ALAMEDA SCIENCE & TECHLGY INST,31
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,App,Alameda,All,ALAMEDA SCIENCE & TECHLGY INST,38
ALBANY HIGH SCHOOL50035,Albany,Enr,Alameda,Male,ALBANY HIGH SCHOOL,22
ALBANY HIGH SCHOOL50035,Albany,Adm,Alameda,Male,ALBANY HIGH SCHOOL,36
ALBANY HIGH SCHOOL50035,Albany,App,Alameda,Male,ALBANY HIGH SCHOOL,57
ALBANY HIGH SCHOOL50035,Albany,Enr,Alameda,Female,ALBANY HIGH SCHOOL,33
ALBANY HIGH SCHOOL50035,Albany,Adm,Alameda,Female,ALBANY HIGH SCHOOL,57
ALBANY HIGH SCHOOL50035,Albany,App,Alameda,Female,ALBANY HIGH SCHOOL,94
ALBANY HIGH SCHOOL50035,Albany,Enr,Alameda,All,ALBANY HIGH SCHOOL,56
ALBANY HIGH SCHOOL50035,Albany,Adm,Alameda,All,ALBANY HIGH SCHOOL,94
ALBANY HIGH SCHOOL50035,Albany,App,Alameda,All,ALBANY HIGH SCHOOL,153
ALBERT EINSTEIN LETTER ART SCI54493,Agua Dulce,Adm,Los Angeles,Male,ALBERT EINSTEIN LETTER ART SCI,3
ALBERT EINSTEIN LETTER ART SCI54493,Agua Dulce,App,Los Angeles,Male,ALBERT EINSTEIN LETTER ART SCI,5
ALBERT EINSTEIN LETTER ART SCI54493,Agua Dulce,Enr,Los Angeles,All,ALBERT EINSTEIN LETTER ART SCI,3
ALBERT EINSTEIN LETTER ART SCI54493,Agua Dulce,Adm,Los Angeles,All,ALBERT EINSTEIN LETTER ART SCI,5
ALBERT EINSTEIN LETTER ART SCI54493,Agua Dulce,App,Los Angeles,All,ALBERT EINSTEIN LETTER ART SCI,8
ALEXANDER HAMILTON HIGH SCHOOL51525,Los Angeles,Enr,Los Angeles,Male,ALEXANDER HAMILTON HIGH SCHOOL,19
ALEXANDER HAMILTON HIGH SCHOOL51525,Los Angeles,Adm,Los Angeles,Male,ALEXANDER HAMILTON HIGH SCHOOL,43
ALEXANDER HAMILTON HIGH SCHOOL51525,Los Angeles,App,Los Angeles,Male,ALEXANDER HAMILTON HIGH SCHOOL,79
