Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,Gender,School,Pivot Field Values
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2017,Male,OAKLAND CHARTER HIGH SCHOOL,12
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,Male,OAKLAND CHARTER HIGH SCHOOL,20
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2017,Male,OAKLAND CHARTER HIGH SCHOOL,28
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2017,Female,OAKLAND CHARTER HIGH SCHOOL,11
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,Female,OAKLAND CHARTER HIGH SCHOOL,19
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2017,Female,OAKLAND CHARTER HIGH SCHOOL,32
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2017,All,OAKLAND CHARTER HIGH SCHOOL,23
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,All,OAKLAND CHARTER HIGH SCHOOL,39
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2017,All,OAKLAND CHARTER HIGH SCHOOL,60
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2016,Male,OAKLAND CHARTER HIGH SCHOOL,15
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2016,Male,OAKLAND CHARTER HIGH SCHOOL,15
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2016,Male,OAKLAND CHARTER HIGH SCHOOL,20
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2016,Female,OAKLAND CHARTER HIGH SCHOOL,12
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2016,Female,OAKLAND CHARTER HIGH SCHOOL,16
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2016,Female,OAKLAND CHARTER HIGH SCHOOL,23
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2016,All,OAKLAND CHARTER HIGH SCHOOL,27
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2016,All,OAKLAND CHARTER HIGH SCHOOL,31
