Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,School,Uad Uc Ethn 6 Cat,Pivot Field Values
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,All,8
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,All,15
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,All,19
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,4
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,5
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,8
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,3
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,6
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,9
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,All,8
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,All,12
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2012,OAKLAND CHARTER HIGH SCHOOL,All,18
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2011,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,3
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2011,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,8
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2011,OAKLAND CHARTER HIGH SCHOOL,All,5
